term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.15265488773921557,0.44350993103855224,-4.237955927295498,2.2556403286611936e-5,0.06346393137462164,0.3615201772842378
period_fTx1,1.4353599077211452,0.19832453276229287,1.8223445153521416,0.06840272773132867,0.9753498055222987,2.1257856224132596
period_fTx2,2.20427466064753,0.18778653885587931,4.209026416432985,2.564734054998785e-5,1.532852050173987,3.204803807213545
mother_age,0.9868707836555929,0.008395902327469283,-1.5741210278299549,0.11545947207004958,0.970720054005062,1.003229456931835
delivery_type_fVaginal,0.9275716698774958,0.15919591533422803,-0.4722810583607988,0.6367261886360951,0.6811618440450785,1.2724174176621763
baby_sex_fM,0.8462647468581702,0.14883299367624284,-1.1215458660041815,0.2620555795897424,0.6313509239237143,1.1321818477485435
parity_fNo,0.8850369341547363,0.14946972634618294,-0.8170611154662649,0.4138935030034862,0.6607525498919707,1.1878730568589073
education_fNone,0.8708839498509592,0.27366977586166835,-0.5051582638246498,0.6134476816474286,0.5024933900293065,1.4749529984602148
education_fPrimary,0.97041131954445,0.20279823942331665,-0.14810412892400876,0.8822605909736965,0.6535595035031464,1.4493877467806568
education_fSecondary,0.7488831109228887,0.2004002031054737,-1.4429744249033436,0.1490276758446058,0.5067436436226439,1.113315638247734
occupation_fStay at Home,0.8943244299294545,0.18597134480026808,-0.6005585040370378,0.548134083305619,0.6202568602585564,1.2873603025324638
occupation_fTeacher,1.1007132487304694,0.17750884983992074,0.540583625560369,0.5887946066727526,0.7774493710729863,1.5606746025872662
caste_fB,0.8277550024482827,0.21842070130189023,-0.865476843620472,0.386777120275531,0.5371488718510151,1.2671465312657622
caste_fC,1.0949959183572835,0.2042029880648816,0.4444138481709563,0.6567434031588297,0.7332218350537894,1.6350697235588256
caste_fD,1.0489417317125433,0.20205198300000865,0.23648261528250106,0.8130581957605443,0.7055967694043203,1.5602074951761353
bpl_card_fNo,1.2275869171454155,0.17325459917361244,1.1835205958335462,0.23660288892825734,0.872271155458137,1.7220008713936428
bpl_card_fDon’t Know,1.4436356175189948,0.18655888423433545,1.968089955594727,0.04905768835442301,0.9976700599678536,2.075488192648416
caregiver_count,1.0862084611385294,0.0523431875562718,1.5798265279206678,0.1141465986916693,0.9803840359520347,1.203892851250928
