term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.369892733978158,0.05004088287564552,7.391810710002114,2.382603635932862e-13,0.27173614251589506,0.4680493254404209
period_fTx1,-0.02285479348412293,0.020574721851416986,-1.1108190744531945,0.2668221486950805,-0.06321268589457289,0.017503098926327034
period_fTx2,-0.02276673250036791,0.02061155215444237,-1.1045617685546811,0.26952457187204065,-0.06319686858038857,0.01766340357965275
mother_age,-7.364386937384826e-5,9.494508307368808e-4,-0.07756470055083561,0.9381845446142055,-0.0019360182311080468,0.0017887304923603503
delivery_type_fVaginal,-0.012214827390224817,0.018165912567882123,-0.6724037311409832,0.5014290402999277,-0.047847773013824396,0.023418118233374766
baby_sex_fM,-0.02551299694005249,0.016823869046356483,-1.5164761963941817,0.129607189531347,-0.05851348665766164,0.007487492777556656
parity_fNo,0.01861696232004532,0.01704895623278415,1.0919707966782146,0.27501921310462324,-0.014825042209692042,0.05205896684978269
education_fNone,-0.02647248779592471,0.031757869252162306,-0.8335725418392883,0.40465304408840186,-0.08876643663857378,0.03582146104672435
education_fPrimary,-0.03581595424814385,0.023925709042929243,-1.4969652177864516,0.13461019342684696,-0.08274690176575356,0.011114993269465863
education_fSecondary,-0.009716404222745492,0.02293019607187557,-0.42373838375777745,0.6718166522097246,-0.054694625201977994,0.035261816756487006
occupation_fStay at Home,-0.03423126540417707,0.02069651647132721,-1.6539626584793046,0.09834184872742498,-0.0748280613683181,0.006365530559963951
occupation_fTeacher,-0.027282352608534954,0.02046472352073053,-1.3331405421088756,0.1826857191304792,-0.06742448021656222,0.012859774999492306
caste_fB,0.004111498479591534,0.023971779267235985,0.17151411389854673,0.8638423935347941,-0.0429098170716336,0.05113281403081666
caste_fC,0.01120844108714625,0.023745832135348643,0.4720171954075714,0.6369823568326569,-0.03536967284487784,0.057786555019170335
caste_fD,2.6613415421298625e-4,0.023214513264801145,0.01146412811577275,0.9908546559359248,-0.04526978295162553,0.0458020512600515
bpl_card_fNo,0.016765466993826028,0.019474960156718023,0.8608729804277758,0.38944395456562353,-0.021435212090858462,0.05496614607851052
bpl_card_fDon’t Know,-0.004564546183310102,0.021828038621129853,-0.20911389532230149,0.8343873849280938,-0.047380854494279326,0.03825176212765913
caregiver_count,0.004358080325094689,0.005954560719678762,0.7318894760266715,0.46434900341595997,-0.007321957082542806,0.016038117732732185
